domain,visits,pageviews,users,pageviews_per_session,avg_session_duration,exits
forecast.weather.gov,54748773,106341601,20185044,1.942355877089702,118.61216144515238,57926383
weather.gov,27964411,53691495,13891932,1.9199937735144859,109.68451944151442,23557644
radar.weather.gov,5833803,12772547,4517983,2.189403207478895,141.8048960515122,6876637
cbp.gov,5036512,9317619,4028343,1.8500142558977324,96.27415262785038,5016290
census.gov,4600312,9043189,3655696,1.9657773211903888,108.42606892749883,4601757
noaa.gov,4321549,5575261,2157886,1.2901070889164974,47.33723648626916,4276774
aviationweather.gov,3404376,29226788,1206047,8.585064634458709,2415.5898781450696,3404376
spc.noaa.gov,2828073,24986124,1037056,8.835035022080406,1525.0049648647685,2846850
nhc.noaa.gov,2796297,3619586,934506,1.2944211576953377,25.122414035418984,2797741
uspto.gov,2318211,9827481,1341818,4.239252164708044,192.70777120805656,2261880
time.gov,2118888,108125396,735183,51.02931160117949,4565.665302743703,2117444
water.weather.gov,2003339,3443374,983615,1.718817434293447,90.03026097929506,2033670
mobile.weather.gov,1671134,2755854,345204,1.6490921733385833,65.47795568757502,1653801
wpc.ncep.noaa.gov,1525253,2999953,914285,1.9668559904487977,80.25756054897121,1484810
nvd.nist.gov,1520920,4018232,974948,2.6419745943244877,308.8365772032717,1515142
oceanservice.noaa.gov,1409703,1754907,1229157,1.2448771124130402,67.82583210789791,1405370
ndbc.noaa.gov,1338929,4867520,618190,3.635383205532183,199.86519001380955,1349040
my.uspto.gov,1299931,1892122,645633,1.4555557179573377,116.11891477316873,1208936
star.nesdis.noaa.gov,1262378,5604148,596524,4.439358100347123,499.6246021397711,1268155
nist.gov,1245045,2306656,1060166,1.852668779040115,103.84921267905979,1219047
trade.gov,1206047,1922454,948950,1.594012505316957,118.74374796338783,1200270
patentcenter.uspto.gov,1171383,1869012,691852,1.5955601199607643,203.0936294960743,1162716
help.cbp.gov,1112163,1656690,1015391,1.489610785469396,76.90002994165424,1130940
fisheries.noaa.gov,869510,1801127,622523,2.071427585651689,155.54477809340892,876731
tsdr.uspto.gov,596524,1546918,374091,2.593220054851104,297.0774939482737,680297
bea.gov,587858,1493477,404423,2.5405404026142366,134.85990834521263,582080
ncei.noaa.gov,563304,1255156,466531,2.2282035987672733,148.87424197236305,557526
climate.gov,517084,869510,469420,1.681564310634249,84.30722667883748,519973
webbook.nist.gov,511306,2406317,375536,4.706217020727314,295.51995087090705,519973
csrc.nist.gov,508418,1026946,420311,2.019885212561318,132.9118186216853,505529
tidesandcurrents.noaa.gov,505529,1068832,298984,2.1142842448207717,119.81424606699122,511306
enroll.recruiting.cbp.gov,491085,517084,378424,1.0529419550586965,24.67647759552827,485308
commerce.gov,466531,730850,379869,1.566562564974246,129.40863951162945,465087
wrh.noaa.gov,440532,558970,167547,1.2688522059691465,45.95084806552078,446310
data.census.gov,362536,491085,249876,1.3545827173025575,147.48223073018954,346648
cnrfc.noaa.gov,336538,644188,174769,1.9141612537068622,70.50209783144845,336538
privacyshield.gov,251320,519973,244098,2.0689678497533026,56.62644835269776,251320
f1.weather.gov,248431,336538,98217,1.3546538072945808,71.43032069266718,241209
scijinks.gov,225321,407312,199323,1.8076965751084009,137.7374368123699,225321
marine.weather.gov,220988,583525,205100,2.6405279924701794,154.15055116114902,317761
itl.nist.gov,203656,417422,179102,2.0496425344698905,91.65243842558039,206545
oceanexplorer.noaa.gov,202212,311984,183435,1.5428560125017308,99.2426265503531,199323
drought.gov,193545,294651,170435,1.522390141827482,63.410555684724486,192101
teas.uspto.gov,168991,2449648,89551,14.495730541863177,655.299406477268,160325
cameochemicals.noaa.gov,166102,446310,135771,2.686963432107982,138.69592780339792,166102
ngdc.noaa.gov,151659,584969,132882,3.857133437514424,153.23774388595467,153103
mag.ncep.noaa.gov,148770,729406,50553,4.902910533037574,415.4949048867379,151659
coast.noaa.gov,142992,222433,128549,1.5555625489537876,78.30326871433367,145881
globaldossier.uspto.gov,140104,241209,92440,1.7216424941472048,93.74207017644036,131437
ppubs.uspto.gov,140104,605190,141548,4.31957688574202,502.00925740878205,202212
fees.uspto.gov,138659,294651,73663,2.125004507460749,94.76065022825782,190657
search.uspto.gov,135771,246987,99661,1.8191439998232317,76.53168938875018,111216
gps.gov,128549,177657,112661,1.3820177519856243,27.85388451096469,127104
tsunami.gov,109772,131437,86662,1.1973636264256824,28.76315453849798,109772
nssl.noaa.gov,101106,206545,85218,2.0428560125017308,138.85682353173897,103995
oceantoday.noaa.gov,101106,132882,88106,1.3142840187525964,108.19975075663166,103995
account.uspto.gov,98217,170435,63552,1.7352902247065172,247.5883095594449,88106
response.restoration.noaa.gov,90995,161769,82329,1.7777789988460904,131.36534974449145,90995
goes.noaa.gov,86662,127104,57775,1.4666635895779003,48.65004269460663,86662
physics.nist.gov,79440,309095,72218,3.890923967774421,122.94583333333334,86662
pages.nist.gov,73663,170435,54886,2.31371244722588,150.09757951753255,73663
www2.census.gov,70774,317761,59219,4.489798513578433,170.67355243450984,64997
ospo.noaa.gov,66441,98217,40442,1.4782589063981577,42.69560963862675,70774
geodesy.noaa.gov,64997,147326,49109,2.266658461159746,211.30969121651768,66441
ncdc.noaa.gov,63552,261431,53442,4.113654959718026,270.29629279959715,63552
mbda.gov,62108,98217,53442,1.581390481097443,170.11581438784054,62108
origin.wpc.ncep.noaa.gov,60663,251320,72218,4.1428877569523435,288.6926627433526,102550
geocoding.geo.census.gov,57775,127104,51997,2.199982691475552,111.52446559930766,59219
access.trade.gov,56330,449198,11555,7.974400852121427,545.2342091248003,57775
charts.noaa.gov,54886,131437,41887,2.394727252851365,216.99994534125278,56330
coastalscience.noaa.gov,53442,76552,47664,1.4324314209797537,107.43166423412298,51997
apps.bea.gov,51997,138659,31776,2.666673077292921,217.44548723964843,47664
nauticalcharts.noaa.gov,50553,99661,41887,1.9714161375190393,199.62811306945187,38998
sanctuaries.noaa.gov,49109,92440,40442,1.8823433586511638,152.55731128713677,43331
buoybay.noaa.gov,47664,49109,2889,1.0303163813360188,0.030295401141322592,47664
ngs.noaa.gov,47664,180546,41887,3.7878902316213496,290.36453088284657,47664
glerl.noaa.gov,46220,73663,34665,1.593747295543055,36.96856339247079,44775
srdata.nist.gov,46220,738072,33220,15.968671570748594,363.7170056252705,46220
research.noaa.gov,41887,51997,37554,1.2413636689187577,140.13684436698736,38998
toolkit.climate.gov,41887,79440,37554,1.8965311433141547,240.54986033852987,38998
export.gov,40442,44775,34665,1.1071410909450572,11.92866327085703,40442
pmel.noaa.gov,40442,62108,36109,1.535730181494486,117.32231343652639,40442
hdsc.nws.noaa.gov,38998,80885,30332,2.074080722088312,242.07369608697883,38998
assignment.uspto.gov,37554,56330,36109,1.499973371678117,145.95987111892208,36109
floridakeys.noaa.gov,37554,106883,31776,2.8461149278372475,236.7665228737285,37554
bhs.econ.census.gov,36109,44775,28887,1.2399955689717246,51.60029355562325,36109
shop.nist.gov,36109,210878,24554,5.84003987925448,220.2812318258606,34665
aviationweather-cprk.ncep.noaa.gov,34665,34665,34665,1.0,0.0,34665
search.bea.gov,33220,46220,18777,1.3913305237808549,58.73994581577363,34665
uat.tidesandcurrents.noaa.gov,33220,93884,27443,2.826128838049368,4.78266104756171,33220
cccbdb.nist.gov,27443,186323,15888,6.78945450570273,337.94730896767845,27443
dev.tidesandcurrents.noaa.gov,27443,33220,7222,1.2105090551324564,0.5263272965783624,27443
beaconregistration.noaa.gov,25999,167547,17332,6.444363244740182,693.6566791030424,25999
incidentnews.noaa.gov,25999,27443,24554,1.0555405977152967,0.8333397438363014,25999
ssd.noaa.gov,25999,44775,20221,1.7221816223700912,144.72014308242623,27443
marinedebris.noaa.gov,23110,34665,20221,1.5,19.312418866291647,21666
repository.library.noaa.gov,23110,27443,20221,1.1874945910861099,59.374729554305496,15888
aviationweather-bldr.ncep.noaa.gov,21666,34665,10111,1.5999723068402105,684.9848610726484,21666
sit-tsdr.etc.uspto.gov,21666,21666,21666,1.0,0.0,21666
dlmf.nist.gov,20221,41887,17332,2.071460362988972,249.2876217793383,20221
epas.uspto.gov,20221,296095,18777,14.642945452747144,376.6457148508976,27443
my-pvt.etc.uspto.gov,20221,25999,11555,1.285742544879086,6.0000494535384,20221
tf.nist.gov,20221,23110,18777,1.1428712724395431,72.42910835270264,20221
etas.uspto.gov,18777,283096,12999,15.076742823667253,452.8409756617138,20221
maps.ngdc.noaa.gov,17332,21666,14444,1.2500576967459036,2.3333717978306026,17332
fishwatch.gov,15888,20221,14444,1.272721550855992,14.909113796576031,15888
