IndexHour,visits
0,140000000
1,139999900
2,139999800
3,139999700
4,139999600
5,139999500
6,139999400
7,139999300
8,139999200
9,139999100
10,139999000
11,139998900
12,139998800
13,139998700
14,139998600
15,139998500
16,139998400
17,139998300
18,139998200
19,139998100
20,139998000
21,139997900
22,139997800
23,139997700
24,139997600
25,139997500
26,139997400
27,139997300
28,139997200
29,139997100
30,139997000
31,139996900
32,139996800
33,139996700
34,139996600
35,139996500
36,139996400
37,139996300
38,139996200
39,139996100
40,139996000
41,139995900
42,139995800
43,139995700
44,139995600
45,139995500
46,139995400
47,139995300
48,139995200
49,139995100
50,139995000
51,139994900
52,139994800
53,139994700
54,139994600
55,139994500
56,139994400
57,139994300
58,139994200
59,139994100
60,139994000
61,139993900
62,139993800
63,139993700
64,139993600
65,139993500
66,139993400
67,139993300
68,139993200
69,139993100
70,139993000
71,139992900
72,139992800
73,139992700
74,139992600
75,139992500
76,139992400
77,139992300
78,139992200
79,139992100
80,139992000
81,139991900
82,139991800
83,139991700
84,139991600
85,139991500
86,139991400
87,139991300
88,139991200
89,139991100
90,139991000
91,139990900
92,139990800
93,139990700
94,139990600
95,139990500
96,139990400
97,139990300
98,139990200
99,139990100
100,139990000
101,139989900
102,139989800
103,139989700
104,139989600
105,139989500
106,139989400
107,139989300
108,139989200
109,139989100
110,139989000
111,139988900
112,139988800
113,139988700
114,139988600
115,139988500
116,139988400
117,139988300
118,139988200
119,139988100
120,139988000
121,139987900
122,139987800
123,139987700
124,139987600
125,139987500
126,139987400
127,139987300
128,139987200
129,139987100
130,139987000
131,139986900
132,139986800
133,139986700
134,139986600
135,139986500
136,139986400
137,139986300
138,139986200
139,139986100
140,139986000
141,139985900
142,139985800
143,139985700
144,139985600
145,139985500
146,139985400
147,139985300
148,139985200
149,139985100
150,139985000
151,139984900
152,139984800
153,139984700
154,139984600
155,139984500
156,139984400
157,139984300
158,139984200
159,139984100
160,139984000
161,139983900
162,139983800
163,139983700
164,139983600
165,139983500
166,139983400
167,139983300
168,139983200
169,139983100
170,139983000
171,139982900
172,139982800
173,139982700
174,139982600
175,139982500
176,139982400
177,139982300
178,139982200
179,139982100
180,139982000
181,139981900
182,139981800
183,139981700
184,139981600
185,139981500
186,139981400
187,139981300
188,139981200
189,139981100
190,139981000
191,139980900
192,139980800
193,139980700
194,139980600
195,139980500
196,139980400
197,139980300
198,139980200
199,139980100
200,139980000
201,139979900
202,139979800
203,139979700
204,139979600
205,139979500
206,139979400
207,139979300
208,139979200
209,139979100
210,139979000
211,139978900
212,139978800
213,139978700
214,139978600
215,139978500
216,139978400
217,139978300
218,139978200
219,139978100
220,139978000
221,139977900
222,139977800
223,139977700
224,139977600
225,139977500
226,139977400
227,139977300
228,139977200
229,139977100
230,139977000
231,139976900
232,139976800
233,139976700
234,139976600
235,139976500
236,139976400
237,139976300
238,139976200
239,139976100
240,139976000
241,139975900
242,139975800
243,139975700
244,139975600
245,139975500
246,139975400
247,139975300
248,139975200
249,139975100
250,139975000
251,139974900
252,139974800
253,139974700
254,139974600
255,139974500
256,139974400
257,139974300
258,139974200
259,139974100
260,139974000
261,139973900
262,139973800
263,139973700
264,139973600
265,139973500
266,139973400
267,139973300
268,139973200
269,139973100
270,139973000
271,139972900
272,139972800
273,139972700
274,139972600
275,139972500
276,139972400
277,139972300
278,139972200
279,139972100
280,139972000
281,139971900
282,139971800
283,139971700
284,139971600
285,139971500
286,139971400
287,139971300
288,139971200
289,139971100
290,139971000
291,139970900
292,139970800
293,139970700
294,139970600
295,139970500
296,139970400
297,139970300
298,139970200
299,139970100
300,139970000
301,139969900
302,139969800
303,139969700
304,139969600
305,139969500
306,139969400
307,139969300
308,139969200
309,139969100
310,139969000
311,139968900
312,139968800
313,139968700
314,139968600
315,139968500
316,139968400
317,139968300
318,139968200
319,139968100
320,139968000
321,139967900
322,139967800
323,139967700
324,139967600
325,139967500
326,139967400
327,139967300
328,139967200
329,139967100
330,139967000
331,139966900
332,139966800
333,139966700
334,139966600
335,139966500
336,139966400
337,139966300
338,139966200
339,139966100
340,139966000
341,139965900
342,139965800
343,139965700
344,139965600
345,139965500
346,139965400
347,139965300
348,139965200
349,139965100
350,139965000
351,139964900
352,139964800
353,139964700
354,139964600
355,139964500
356,139964400
357,139964300
358,139964200
359,139964100
360,139964000
361,139963900
362,139963800
363,139963700
364,139963600
365,139963500
366,139963400
367,139963300
368,139963200
369,139963100
370,139963000
371,139962900
372,139962800
373,139962700
374,139962600
375,139962500
376,139962400
377,139962300
378,139962200
379,139962100
380,139962000
381,139961900
382,139961800
383,139961700
384,139961600
385,139961500
386,139961400
387,139961300
388,139961200
389,139961100
390,139961000
391,139960900
392,139960800
393,139960700
394,139960600
395,139960500
396,139960400
397,139960300
398,139960200
399,139960100
400,139960000
401,139959900
402,139959800
403,139959700
404,139959600
405,139959500
406,139959400
407,139959300
408,139959200
409,139959100
410,139959000
411,139958900
412,139958800
413,139958700
414,139958600
415,139958500
416,139958400
417,139958300
418,139958200
419,139958100
420,139958000
421,139957900
422,139957800
423,139957700
424,139957600
425,139957500
426,139957400
427,139957300
428,139957200
429,139957100
430,139957000
431,139956900
432,139956800
433,139956700
434,139956600
435,139956500
436,139956400
437,139956300
438,139956200
439,139956100
440,139956000
441,139955900
442,139955800
443,139955700
444,139955600
445,139955500
446,139955400
447,139955300
448,139955200
449,139955100
450,139955000
451,139954900
452,139954800
453,139954700
454,139954600
455,139954500
456,139954400
457,139954300
458,139954200
459,139954100
460,139954000
461,139953900
462,139953800
463,139953700
464,139953600
465,139953500
466,139953400
467,139953300
468,139953200
469,139953100
470,139953000
471,139952900
472,139952800
473,139952700
474,139952600
475,139952500
476,139952400
477,139952300
478,139952200
479,139952100
480,139952000
481,139951900
482,139951800
483,139951700
484,139951600
485,139951500
486,139951400
487,139951300
488,139951200
489,139951100
490,139951000
491,139950900
492,139950800
493,139950700
494,139950600
495,139950500
496,139950400
497,139950300
498,139950200
499,139950100
500,139950000
501,139949900
502,139949800
503,139949700
504,139949600
505,139949500
506,139949400
507,139949300
508,139949200
509,139949100
510,139949000
511,139948900
512,139948800
513,139948700
514,139948600
515,139948500
516,139948400
517,139948300
518,139948200
519,139948100
520,139948000
521,139947900
522,139947800
523,139947700
524,139947600
525,139947500
526,139947400
527,139947300
528,139947200
529,139947100
530,139947000
531,139946900
532,139946800
533,139946700
534,139946600
535,139946500
536,139946400
537,139946300
538,139946200
539,139946100
540,139946000
541,139945900
542,139945800
543,139945700
544,139945600
545,139945500
546,139945400
547,139945300
548,139945200
549,139945100
550,139945000
551,139944900
552,139944800
553,139944700
554,139944600
555,139944500
556,139944400
557,139944300
558,139944200
559,139944100
560,139944000
561,139943900
562,139943800
563,139943700
564,139943600
565,139943500
566,139943400
567,139943300
568,139943200
569,139943100
570,139943000
571,139942900
572,139942800
573,139942700
574,139942600
575,139942500
576,139942400
577,139942300
578,139942200
579,139942100
580,139942000
581,139941900
582,139941800
583,139941700
584,139941600
585,139941500
586,139941400
587,139941300
588,139941200
589,139941100
590,139941000
591,139940900
592,139940800
593,139940700
594,139940600
595,139940500
596,139940400
597,139940300
598,139940200
599,139940100
600,139940000
601,139939900
602,139939800
603,139939700
604,139939600
605,139939500
606,139939400
607,139939300
608,139939200
609,139939100
610,139939000
611,139938900
612,139938800
613,139938700
614,139938600
615,139938500
616,139938400
617,139938300
618,139938200
619,139938100
620,139938000
621,139937900
622,139937800
623,139937700
624,139937600
625,139937500
626,139937400
627,139937300
628,139937200
629,139937100
630,139937000
631,139936900
632,139936800
633,139936700
634,139936600
635,139936500
636,139936400
637,139936300
638,139936200
639,139936100
640,139936000
641,139935900
642,139935800
643,139935700
644,139935600
645,139935500
646,139935400
647,139935300
648,139935200
649,139935100
650,139935000
651,139934900
652,139934800
653,139934700
654,139934600
655,139934500
656,139934400
